Principal_Investigator_Name,IDDRC_Funded_Research,Childrens_National_Health_System,George_Washington_University,Center_for_Genetic_Medicine_Research,Center_for_Neuroscience_Research,Center_for_Cancer_&_Immunology_Research,Center_for_Translational_Science,Sheikh_Zayed_Institute_for_Pediatric_Surgical_Innovation,Clinical_and_Translational_Science_Institute_at_Childrens_National,RNA_Sequencing,Exome_Sequencing,Whole_Genome_Sequencing,Microarray,Metagenomics/Microbiome,ChIP_Sequencing,Single_Cell_Sequencing,T-cell_Receptor_Sequencing,Bionano,Institution,CRI_Center,Analysis_Type
,,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,,Genmed,Single_Cell_Sequencing
,,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Genmed,Whole_Genome_Sequencing
,,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Cancer,Whole_Genome_Sequencing
,,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Genmed,RNA_Sequencing
Testing,,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,CNH,Genmed,T-cell_Receptor_Sequencing
Josh Corbin,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,RNA_Sequencing
Dr. Josh Corbin,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,RNA_Sequencing
Anna Penn,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,RNA_Sequencing
Dr. Josh Corbin,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,RNA_Sequencing
Hashimoto_Torii Kazue,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,RNA_Sequencing
Kazue Hashimoto-Torii,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,RNA_Sequencing
Vittorio Gallo,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,CNH,Neuroscience,T-cell_Receptor_Sequencing
Kazue Hashimoto-Torii,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,CNH,Neuroscience,Single_Cell_Sequencing
Michael Keller,No,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,CNH,Cancer,T-cell_Receptor_Sequencing
,No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,SZI,Microarray
Dinesh Pillai,,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Genmed,Microarray
Javad Nazarian,,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,GW,Genmed,RNA_Sequencing
Catherine Bollard,No,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,CNH,Cancer,T-cell_Receptor_Sequencing
Kim chapman,No,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,CNH,Genmed,T-cell_Receptor_Sequencing
Patricio Ray,,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Genmed,RNA_Sequencing
Dr. Vittorio Gallo,Yes,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,RNA_Sequencing
Kazue Hashimoto-Torii,No,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,CNH,Neuroscience,Single_Cell_Sequencing
"Diego Preciado, MD, PhD",No,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,SZI,RNA_Sequencing
Nobuyuki Ishibashi,No,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,Whole_Genome_Sequencing
Nobuyuki Ishibashi,No,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,Whole_Genome_Sequencing
